0.0	lseek64	0x00124560	0 / 1	0 / 2	11
100.0	lua_gettop	0x00124570	1 / 1	2 / 2	11
100.0	fsync	0x00124580	1 / 1	2 / 2	11
0.0	openlog	0x00124590	0 / 1	0 / 2	11
100.0	setlocale	0x001245A0	1 / 1	2 / 2	11
100.0	lua_sethook	0x001245B0	1 / 1	2 / 2	11
0.0	chmod	0x001245C0	0 / 1	0 / 2	11
100.0	time	0x001245D0	1 / 1	2 / 2	11
0.0	getsockname	0x001245E0	0 / 1	0 / 2	11
0.0	dup2	0x001245F0	0 / 1	0 / 2	11
100.0	srand	0x00124600	1 / 1	2 / 2	11
0.0	__isoc99_sscanf	0x00124610	0 / 1	0 / 2	11
0.0	lua_pushinteger	0x00124620	0 / 1	0 / 2	11
100.0	lua_setfield	0x00124630	1 / 1	2 / 2	11
100.0	fclose	0x00124640	1 / 1	2 / 2	11
0.0	lua_insert	0x00124650	0 / 1	0 / 2	11
0.0	raise	0x00124660	0 / 1	0 / 2	11
100.0	roundf	0x00124670	1 / 1	2 / 2	11
0.0	lua_isnumber	0x00124680	0 / 1	0 / 2	11
0.0	luaL_checknumber	0x00124690	0 / 1	0 / 2	11
0.0	dladdr	0x001246A0	0 / 1	0 / 2	11
100.0	inet_ntop	0x001246B0	1 / 1	2 / 2	11
100.0	pthread_sigmask	0x001246C0	1 / 1	2 / 2	11
100.0	fileno	0x001246D0	1 / 1	2 / 2	11
100.0	lua_pushlstring	0x001246E0	1 / 1	2 / 2	11
100.0	__ctype_b_loc	0x001246F0	1 / 1	2 / 2	11
100.0	strcasecmp	0x00124700	1 / 1	2 / 2	11
0.0	setsid	0x00124710	0 / 1	0 / 2	11
0.0	__syslog_chk	0x00124720	0 / 1	0 / 2	11
0.0	lua_tointeger	0x00124730	0 / 1	0 / 2	11
0.0	strrchr	0x00124740	0 / 1	0 / 2	11
0.0	fseek	0x00124750	0 / 1	0 / 2	11
0.0	memchr	0x00124760	0 / 1	0 / 2	11
0.0	__stack_chk_fail	0x00124770	0 / 1	0 / 2	11
100.0	fopen64	0x00124780	1 / 1	2 / 2	11
100.0	lua_pushstring	0x00124790	1 / 1	2 / 2	11
100.0	listen	0x001247A0	1 / 1	2 / 2	11
100.0	lua_rawseti	0x001247B0	1 / 1	2 / 2	11
100.0	malloc	0x001247C0	1 / 1	2 / 2	11
0.0	sync_file_range	0x001247D0	0 / 1	0 / 2	11
0.0	ctime_r	0x001247E0	0 / 1	0 / 2	11
100.0	fflush	0x001247F0	1 / 1	2 / 2	11
100.0	fopen	0x00124800	1 / 1	2 / 2	11
0.0	lua_getlocal	0x00124810	0 / 1	0 / 2	11
100.0	signal	0x00124820	1 / 1	2 / 2	11
100.0	calloc	0x00124830	1 / 1	2 / 2	11
0.0	lua_next	0x00124840	0 / 1	0 / 2	11
100.0	pthread_cond_init	0x00124850	1 / 1	2 / 2	11
100.0	exit	0x00124860	1 / 1	2 / 2	11
100.0	pthread_attr_init	0x00124870	1 / 1	2 / 2	11
0.0	getenv	0x00124880	0 / 1	0 / 2	11
100.0	getrlimit64	0x00124890	1 / 1	2 / 2	11
0.0	redisAsyncHandleRead	0x001248A0	0 / 1	0 / 2	11
100.0	sigemptyset	0x001248B0	1 / 1	2 / 2	11
100.0	sigaction	0x001248C0	1 / 1	2 / 2	11
100.0	getaddrinfo	0x001248D0	1 / 1	2 / 2	11
0.0	strncasecmp	0x001248E0	0 / 1	0 / 2	11
0.0	__fxstat64	0x001248F0	0 / 1	0 / 2	11
100.0	freeaddrinfo	0x00124900	1 / 1	2 / 2	11
100.0	pthread_attr_getstacksize	0x00124910	1 / 1	2 / 2	11
100.0	lua_gc	0x00124920	1 / 1	2 / 2	11
100.0	strtoull	0x00124930	1 / 1	2 / 2	11
0.0	luaL_error	0x00124940	0 / 1	0 / 2	11
100.0	pipe	0x00124950	1 / 1	2 / 2	11
0.0	shutdown	0x00124960	0 / 1	0 / 2	11
0.0	unsetenv	0x00124970	0 / 1	0 / 2	11
100.0	epoll_ctl	0x00124980	1 / 1	2 / 2	11
0.0	gai_strerror	0x00124990	0 / 1	0 / 2	11
100.0	strcmp	0x001249A0	1 / 1	2 / 2	11
100.0	strtol	0x001249B0	1 / 1	2 / 2	11
100.0	lua_tolstring	0x001249C0	1 / 1	2 / 2	11
